# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-16 -16 0 000000
-15 -16 0 000000
-14 -16 0 000000
-13 -16 0 000000
-12 -16 0 000000
-11 -16 0 000000
-10 -16 0 000000
-9 -16 0 000000
-8 -16 0 000000
-7 -16 0 000000
-6 -16 0 000000
-5 -16 0 000000
-4 -16 0 000000
-3 -16 0 000000
-2 -16 0 000000
-1 -16 0 000000
-16 -15 0 000000
-15 -15 0 000000
-14 -15 0 000000
-13 -15 0 000000
-12 -15 0 000000
-11 -15 0 000000
-10 -15 0 000000
-9 -15 0 000000
-8 -15 0 000000
-7 -15 0 000000
-6 -15 0 000000
-5 -15 0 000000
-4 -15 0 000000
-3 -15 0 000000
-2 -15 0 000000
-1 -15 0 000000
-16 -14 0 000000
-15 -14 0 000000
-14 -14 0 000000
-13 -14 0 000000
-12 -14 0 000000
-11 -14 0 000000
-10 -14 0 000000
-9 -14 0 000000
-8 -14 0 000000
-7 -14 0 000000
-6 -14 0 000000
-5 -14 0 000000
-4 -14 0 000000
-3 -14 0 000000
-2 -14 0 000000
-1 -14 0 000000
-16 -13 0 000000
-15 -13 0 000000
-14 -13 0 000000
-13 -13 0 000000
-12 -13 0 000000
-11 -13 0 000000
-10 -13 0 000000
-9 -13 0 000000
-8 -13 0 000000
-7 -13 0 000000
-6 -13 0 000000
-5 -13 0 000000
-4 -13 0 000000
-3 -13 0 000000
-2 -13 0 000000
-1 -13 0 000000
-16 -12 0 000000
-15 -12 0 000000
-14 -12 0 000000
-13 -12 0 000000
-12 -12 0 000000
-11 -12 0 000000
-10 -12 0 000000
-9 -12 0 000000
-8 -12 0 000000
-7 -12 0 000000
-6 -12 0 000000
-5 -12 0 000000
-4 -12 0 000000
-3 -12 0 000000
-2 -12 0 000000
-1 -12 0 000000
-16 -11 0 000000
-15 -11 0 000000
-14 -11 0 000000
-13 -11 0 000000
-12 -11 0 000000
-11 -11 0 000000
-10 -11 0 000000
-9 -11 0 000000
-8 -11 0 000000
-7 -11 0 000000
-6 -11 0 000000
-5 -11 0 000000
-4 -11 0 000000
-3 -11 0 000000
-2 -11 0 000000
-1 -11 0 000000
-16 -10 0 000000
-15 -10 0 000000
-14 -10 0 000000
-13 -10 0 000000
