# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-11 -9 0 000000
-10 -9 0 000000
-9 -9 0 000000
-8 -9 0 000000
-7 -9 0 000000
-6 -9 0 000000
-5 -9 0 000000
-4 -9 0 000000
-3 -9 0 000000
-2 -9 0 000000
-1 -9 0 000000
-11 -8 0 000000
-10 -8 0 000000
-9 -8 0 000000
-8 -8 0 000000
-7 -8 0 000000
-6 -8 0 000000
-5 -8 0 000000
-4 -8 0 000000
-3 -8 0 000000
-2 -8 0 000000
-1 -8 0 000000
-11 -7 0 000000
-10 -7 0 000000
-9 -7 0 000000
-8 -7 0 000000
-7 -7 0 000000
-6 -7 0 000000
-5 -7 0 000000
-4 -7 0 000000
-3 -7 0 000000
-2 -7 0 000000
-1 -7 0 000000
-11 -6 0 000000
-10 -6 0 000000
-9 -6 0 000000
-8 -6 0 000000
-7 -6 0 000000
-6 -6 0 000000
-5 -6 0 000000
-4 -6 0 000000
-3 -6 0 000000
-2 -6 0 000000
-1 -6 0 000000
-11 -5 0 000000
-10 -5 0 000000
-9 -5 0 000000
-8 -5 0 000000
-7 -5 0 000000
-6 -5 0 000000
-5 -5 0 000000
-4 -5 0 000000
-3 -5 0 000000
-2 -5 0 000000
-1 -5 0 000000
-11 -4 0 000000
-10 -4 0 000000
-9 -4 0 000000
-8 -4 0 000000
-7 -4 0 000000
-6 -4 0 000000
-5 -4 0 000000
-4 -4 0 000000
-3 -4 0 000000
-2 -4 0 000000
-1 -4 0 000000
-11 -3 0 000000
-10 -3 0 000000
-9 -3 0 000000
-8 -3 0 000000
-7 -3 0 000000
-6 -3 0 000000
-5 -3 0 000000
-4 -3 0 000000
-3 -3 0 000000
-2 -3 0 000000
-1 -3 0 000000
-11 -2 0 000000
-10 -2 0 000000
-9 -2 0 000000
-8 -2 0 000000
-7 -2 0 000000
-6 -2 0 000000
-5 -2 0 000000
-4 -2 0 000000
-3 -2 0 000000
-2 -2 0 000000
-1 -2 0 000000
-11 -1 0 000000
-10 -1 0 000000
-9 -1 0 000000
-8 -1 0 000000
-7 -1 0 000000
-6 -1 0 000000
-5 -1 0 000000
-4 -1 0 000000
-3 -1 0 000000
-2 -1 0 000000
-1 -1 0 000000
-11 -9 1 8f563b
-10 -9 1 8f563b
-9 -9 1 8f563b
-8 -9 1 8f563b
-7 -9 1 8f563b
-6 -9 1 8f563b
-5 -9 1 8f563b
-4 -9 1 8f563b
-3 -9 1 8f563b
-2 -9 1 8f563b
-1 -9 1 8f563b
-11 -8 1 8f563b
-11 -7 1 8f563b
-11 -6 1 8f563b
-11 -5 1 8f563b
-11 -4 1 8f563b
-11 -3 1 8f563b
-1 -3 1 639bff
-11 -2 1 8f563b
-2 -2 1 639bff
-1 -2 1 639bff
-11 -1 1 8f563b
-3 -1 1 639bff
-2 -1 1 639bff
-1 -1 1 639bff
-11 -9 2 8f563b
-10 -9 2 8f563b
-9 -9 2 8f563b
-8 -9 2 8f563b
-7 -9 2 8f563b
-6 -9 2 8f563b
-5 -9 2 8f563b
-4 -9 2 8f563b
-3 -9 2 8f563b
-2 -9 2 8f563b
-1 -9 2 8f563b
-11 -8 2 8f563b
-11 -7 2 8f563b
-11 -6 2 8f563b
-11 -5 2 8f563b
-11 -4 2 8f563b
-11 -3 2 8f563b
-1 -3 2 639bff
-11 -2 2 8f563b
-2 -2 2 639bff
-1 -2 2 639bff
-11 -1 2 8f563b
-3 -1 2 639bff
-2 -1 2 639bff
-1 -1 2 639bff
-11 -9 3 8f563b
-10 -9 3 8f563b
-9 -9 3 8f563b
-8 -9 3 8f563b
-7 -9 3 8f563b
-6 -9 3 8f563b
-5 -9 3 8f563b
-4 -9 3 8f563b
-3 -9 3 8f563b
-2 -9 3 8f563b
-1 -9 3 8f563b
-11 -8 3 8f563b
-11 -7 3 8f563b
-11 -6 3 8f563b
-11 -5 3 8f563b
-11 -4 3 8f563b
-11 -3 3 8f563b
-1 -3 3 639bff
-11 -2 3 8f563b
-2 -2 3 639bff
-1 -2 3 639bff
-11 -1 3 8f563b
-3 -1 3 639bff
-2 -1 3 639bff
-1 -1 3 639bff
-11 -9 4 8f563b
-10 -9 4 8f563b
-9 -9 4 8f563b
-8 -9 4 8f563b
-7 -9 4 8f563b
-6 -9 4 8f563b
-5 -9 4 8f563b
-4 -9 4 8f563b
-3 -9 4 8f563b
-2 -9 4 8f563b
-1 -9 4 8f563b
-11 -8 4 8f563b
-11 -7 4 8f563b
-11 -6 4 8f563b
-11 -5 4 8f563b
-11 -4 4 8f563b
-11 -3 4 8f563b
-1 -3 4 639bff
-11 -2 4 8f563b
-2 -2 4 639bff
-1 -2 4 639bff
-11 -1 4 8f563b
-3 -1 4 639bff
-2 -1 4 639bff
-1 -1 4 639bff
-11 -9 5 8f563b
-10 -9 5 8f563b
-9 -9 5 8f563b
-8 -9 5 8f563b
-7 -9 5 8f563b
-6 -9 5 8f563b
-5 -9 5 8f563b
-4 -9 5 8f563b
-3 -9 5 8f563b
-2 -9 5 8f563b
