# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-10 -15 0 000000
-9 -15 0 000000
-8 -15 0 000000
-7 -15 0 000000
-10 -14 0 000000
-9 -14 0 000000
-8 -14 0 000000
-7 -14 0 000000
-10 -13 0 000000
-9 -13 0 000000
-8 -13 0 000000
-7 -13 0 000000
-10 -12 0 000000
-9 -12 0 000000
-8 -12 0 000000
-7 -12 0 000000
-10 -11 0 000000
-9 -11 0 000000
-8 -11 0 000000
-7 -11 0 000000
-10 -10 0 000000
-9 -10 0 000000
-8 -10 0 000000
-7 -10 0 000000
-10 -9 0 000000
-9 -9 0 000000
-8 -9 0 000000
-7 -9 0 000000
-10 -8 0 000000
-9 -8 0 000000
-8 -8 0 000000
-7 -8 0 000000
-10 -7 0 000000
-9 -7 0 000000
-8 -7 0 000000
-7 -7 0 000000
-10 -6 0 000000
-9 -6 0 000000
-8 -6 0 000000
-7 -6 0 000000
-10 -5 0 000000
-9 -5 0 000000
-8 -5 0 000000
-7 -5 0 000000
-10 -4 0 000000
-9 -4 0 000000
-8 -4 0 000000
-7 -4 0 000000
-10 -3 0 000000
-9 -3 0 000000
-8 -3 0 000000
-7 -3 0 000000
-10 -2 0 000000
-9 -2 0 000000
-8 -2 0 000000
-7 -2 0 000000
-10 -1 0 000000
-9 -1 0 000000
-8 -1 0 000000
-7 -1 0 000000
-10 -15 1 8f563b
-9 -15 1 8f563b
-8 -15 1 8f563b
-7 -15 1 8f563b
-10 -14 1 8f563b
-9 -14 1 fbf236
-8 -14 1 fbf236
-7 -14 1 8f563b
-10 -13 1 8f563b
-7 -13 1 8f563b
-10 -12 1 8f563b
-7 -12 1 8f563b
-10 -11 1 8f563b
-7 -11 1 8f563b
-10 -10 1 8f563b
-7 -10 1 8f563b
-10 -9 1 8f563b
-7 -9 1 8f563b
-10 -8 1 8f563b
-10 -7 1 8f563b
-7 -7 1 8f563b
-10 -6 1 8f563b
-7 -6 1 8f563b
-10 -5 1 8f563b
-7 -5 1 8f563b
-10 -4 1 8f563b
-7 -4 1 8f563b
-10 -3 1 8f563b
-7 -3 1 8f563b
-10 -2 1 8f563b
-7 -2 1 8f563b
-10 -1 1 8f563b
-7 -1 1 8f563b
-10 -15 2 8f563b
-9 -15 2 8f563b
-8 -15 2 8f563b
-7 -15 2 8f563b
-10 -14 2 8f563b
-7 -14 2 8f563b
-10 -13 2 8f563b
-7 -13 2 8f563b
-10 -12 2 8f563b
-7 -12 2 8f563b
-10 -11 2 8f563b
-7 -11 2 8f563b
-10 -10 2 8f563b
-7 -10 2 8f563b
-10 -9 2 8f563b
-7 -9 2 8f563b
-10 -8 2 8f563b
-10 -7 2 8f563b
-7 -7 2 8f563b
-10 -6 2 8f563b
-7 -6 2 8f563b
-10 -5 2 8f563b
-7 -5 2 8f563b
-10 -4 2 8f563b
-7 -4 2 8f563b
-10 -3 2 8f563b
-7 -3 2 8f563b
-10 -2 2 8f563b
-7 -2 2 8f563b
-10 -1 2 8f563b
-7 -1 2 8f563b
-10 -15 3 8f563b
-9 -15 3 8f563b
-8 -15 3 8f563b
-7 -15 3 8f563b
-10 -14 3 8f563b
-7 -14 3 8f563b
-10 -13 3 8f563b
-7 -13 3 8f563b
-10 -12 3 8f563b
-7 -12 3 8f563b
-10 -11 3 8f563b
-7 -11 3 8f563b
-10 -10 3 8f563b
-7 -10 3 8f563b
-10 -9 3 8f563b
-7 -9 3 8f563b
-10 -8 3 8f563b
-10 -7 3 8f563b
-7 -7 3 8f563b
-10 -6 3 8f563b
-7 -6 3 8f563b
-10 -5 3 8f563b
-7 -5 3 8f563b
-10 -4 3 8f563b
-7 -4 3 8f563b
-10 -3 3 8f563b
-7 -3 3 8f563b
-10 -2 3 8f563b
-7 -2 3 8f563b
-10 -1 3 8f563b
-7 -1 3 8f563b
-10 -15 4 8f563b
-9 -15 4 8f563b
-8 -15 4 8f563b
-7 -15 4 8f563b
-10 -14 4 8f563b
-7 -14 4 8f563b
-10 -13 4 8f563b
-7 -13 4 8f563b
-10 -12 4 8f563b
-7 -12 4 8f563b
-10 -11 4 8f563b
-7 -11 4 8f563b
-10 -10 4 8f563b
-7 -10 4 8f563b
-10 -9 4 8f563b
-7 -9 4 8f563b
-10 -8 4 8f563b
-10 -7 4 8f563b
-7 -7 4 8f563b
-10 -6 4 8f563b
-7 -6 4 8f563b
-10 -5 4 8f563b
-7 -5 4 8f563b
-10 -4 4 8f563b
-7 -4 4 8f563b
-10 -3 4 8f563b
-7 -3 4 8f563b
-10 -2 4 8f563b
-7 -2 4 8f563b
-10 -1 4 8f563b
-7 -1 4 8f563b
-10 0 0 000000
-9 0 0 000000
-8 0 0 000000
-7 0 0 000000
-10 1 0 000000
-9 1 0 000000
-8 1 0 000000
-7 1 0 000000
-10 2 0 000000
-9 2 0 000000
