# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-7 -8 0 000000
-6 -8 0 000000
-5 -8 0 000000
-4 -8 0 000000
-3 -8 0 000000
-2 -8 0 000000
-1 -8 0 000000
-7 -7 0 000000
-6 -7 0 000000
-5 -7 0 000000
-4 -7 0 000000
-3 -7 0 000000
-2 -7 0 000000
-1 -7 0 000000
-7 -6 0 000000
-6 -6 0 000000
-5 -6 0 000000
-4 -6 0 000000
-3 -6 0 000000
-2 -6 0 000000
-1 -6 0 000000
-7 -5 0 000000
-6 -5 0 000000
-5 -5 0 000000
-4 -5 0 000000
-3 -5 0 000000
-2 -5 0 000000
-1 -5 0 000000
-7 -4 0 000000
-6 -4 0 000000
-5 -4 0 000000
-4 -4 0 000000
-3 -4 0 000000
-2 -4 0 000000
-1 -4 0 000000
-7 -3 0 000000
-6 -3 0 000000
-5 -3 0 000000
-4 -3 0 000000
-3 -3 0 000000
-2 -3 0 000000
-1 -3 0 000000
-7 -2 0 000000
-6 -2 0 000000
-5 -2 0 000000
-4 -2 0 000000
-3 -2 0 000000
-2 -2 0 000000
-1 -2 0 000000
-7 -1 0 000000
-6 -1 0 000000
-5 -1 0 000000
-4 -1 0 000000
-3 -1 0 000000
-2 -1 0 000000
-1 -1 0 000000
-7 -8 1 8f563b
-4 -8 1 8f563b
-3 -8 1 8f563b
-2 -8 1 8f563b
-1 -8 1 8f563b
-7 -7 1 8f563b
-4 -7 1 8f563b
-3 -7 1 8f563b
-2 -7 1 8f563b
-1 -7 1 8f563b
-7 -6 1 8f563b
-4 -6 1 8f563b
-3 -6 1 8f563b
-2 -6 1 8f563b
-1 -6 1 8f563b
-7 -5 1 8f563b
-4 -5 1 8f563b
-3 -5 1 8f563b
-2 -5 1 8f563b
-1 -5 1 8f563b
-7 -4 1 8f563b
-4 -4 1 8f563b
-3 -4 1 8f563b
-2 -4 1 8f563b
-1 -4 1 8f563b
-7 -3 1 8f563b
-4 -3 1 8f563b
-3 -3 1 8f563b
-2 -3 1 8f563b
-1 -3 1 8f563b
-7 -2 1 8f563b
-4 -2 1 8f563b
-3 -2 1 8f563b
-2 -2 1 8f563b
-1 -2 1 8f563b
-7 -1 1 8f563b
-4 -1 1 8f563b
-3 -1 1 8f563b
-2 -1 1 8f563b
-1 -1 1 8f563b
-7 -8 2 8f563b
-4 -8 2 8f563b
-3 -8 2 8f563b
-2 -8 2 8f563b
-1 -8 2 8f563b
-7 -7 2 8f563b
-4 -7 2 8f563b
-3 -7 2 8f563b
-2 -7 2 8f563b
-1 -7 2 8f563b
-7 -6 2 8f563b
-4 -6 2 8f563b
-3 -6 2 8f563b
-2 -6 2 8f563b
-1 -6 2 8f563b
-7 -5 2 8f563b
-4 -5 2 8f563b
-3 -5 2 8f563b
-2 -5 2 8f563b
-1 -5 2 8f563b
-7 -4 2 8f563b
-4 -4 2 8f563b
-1 -4 2 8f563b
-7 -3 2 8f563b
-4 -3 2 8f563b
-1 -3 2 8f563b
-7 -2 2 8f563b
-7 -1 2 8f563b
-7 -8 3 8f563b
-4 -8 3 8f563b
-3 -8 3 8f563b
-2 -8 3 8f563b
-1 -8 3 8f563b
-7 -7 3 8f563b
-4 -7 3 8f563b
-3 -7 3 8f563b
-2 -7 3 8f563b
-1 -7 3 8f563b
-7 -6 3 8f563b
-4 -6 3 8f563b
-3 -6 3 8f563b
-2 -6 3 8f563b
-1 -6 3 8f563b
-7 -5 3 8f563b
-4 -5 3 8f563b
-1 -5 3 8f563b
-7 -4 3 8f563b
-4 -4 3 8f563b
-1 -4 3 8f563b
-7 -3 3 8f563b
-4 -3 3 8f563b
-1 -3 3 8f563b
-7 -2 3 8f563b
-7 -1 3 8f563b
-4 -8 4 8f563b
-3 -8 4 8f563b
-2 -8 4 8f563b
-1 -8 4 8f563b
-4 -7 4 8f563b
-3 -7 4 fbf236
-2 -7 4 fbf236
-1 -7 4 8f563b
-4 -6 4 8f563b
-1 -6 4 8f563b
-4 -5 4 8f563b
-1 -5 4 8f563b
-4 -4 4 8f563b
-1 -4 4 8f563b
-4 -3 4 8f563b
-1 -3 4 8f563b
-4 -8 5 8f563b
-3 -8 5 8f563b
-2 -8 5 8f563b
-1 -8 5 8f563b
-4 -7 5 8f563b
-1 -7 5 8f563b
-4 -6 5 8f563b
-1 -6 5 8f563b
-4 -5 5 8f563b
-1 -5 5 8f563b
-4 -4 5 8f563b
-1 -4 5 8f563b
-4 -3 5 8f563b
-1 -3 5 8f563b
0 -8 0 000000
1 -8 0 000000
2 -8 0 000000
0 -7 0 000000
1 -7 0 000000
2 -7 0 000000
0 -6 0 000000
1 -6 0 000000
2 -6 0 000000
0 -5 0 000000
1 -5 0 000000
2 -5 0 000000
0 -4 0 000000
1 -4 0 000000
2 -4 0 000000
0 -3 0 000000
1 -3 0 000000
2 -3 0 000000
0 -2 0 000000
1 -2 0 000000
2 -2 0 000000
0 -1 0 000000
1 -1 0 000000
2 -1 0 000000
2 -8 1 8f563b
2 -7 1 8f563b
2 -6 1 8f563b
2 -5 1 8f563b
2 -4 1 8f563b
2 -3 1 8f563b
2 -2 1 8f563b
2 -1 1 8f563b
2 -8 2 8f563b
2 -7 2 8f563b
2 -6 2 8f563b
2 -5 2 8f563b
2 -4 2 8f563b
2 -3 2 8f563b
2 -2 2 8f563b
2 -1 2 8f563b
2 -8 3 8f563b
2 -7 3 8f563b
2 -6 3 8f563b
2 -5 3 8f563b
2 -4 3 8f563b
2 -3 3 8f563b
2 -2 3 8f563b
2 -1 3 8f563b
-7 0 0 000000
-6 0 0 000000
-5 0 0 000000
-4 0 0 000000
-3 0 0 000000
-2 0 0 000000
-1 0 0 000000
-7 1 0 000000
-6 1 0 000000
-5 1 0 000000
-4 1 0 000000
-3 1 0 000000
-2 1 0 000000
-1 1 0 000000
-7 2 0 000000
-6 2 0 000000
-5 2 0 000000
-4 2 0 000000
-3 2 0 000000
-2 2 0 000000
-1 2 0 000000
-7 3 0 000000
-6 3 0 000000
-5 3 0 000000
-4 3 0 000000
-3 3 0 000000
-2 3 0 000000
-1 3 0 000000
-7 4 0 000000
-6 4 0 000000
-5 4 0 000000
-4 4 0 000000
-3 4 0 000000
-2 4 0 000000
-1 4 0 000000
-7 5 0 000000
-6 5 0 000000
-5 5 0 000000
-4 5 0 000000
-3 5 0 000000
-2 5 0 000000
-1 5 0 000000
-7 0 1 8f563b
-4 0 1 8f563b
-3 0 1 8f563b
-2 0 1 8f563b
-1 0 1 8f563b
-7 1 1 8f563b
-4 1 1 8f563b
-3 1 1 8f563b
-2 1 1 8f563b
-1 1 1 8f563b
-7 2 1 8f563b
-4 2 1 8f563b
-3 2 1 8f563b
-2 2 1 8f563b
-1 2 1 8f563b
-7 3 1 8f563b
-4 3 1 8f563b
-3 3 1 8f563b
-2 3 1 8f563b
-1 3 1 8f563b
-7 4 1 8f563b
-4 4 1 8f563b
-3 4 1 8f563b
-2 4 1 8f563b
-1 4 1 8f563b
-7 5 1 8f563b
-4 5 1 8f563b
-3 5 1 8f563b
-2 5 1 8f563b
-1 5 1 8f563b
-7 0 2 8f563b
-4 0 2 8f563b
-1 0 2 8f563b
-7 1 2 8f563b
-4 1 2 8f563b
-1 1 2 8f563b
-7 2 2 8f563b
-4 2 2 8f563b
-3 2 2 8f563b
-2 2 2 8f563b
-1 2 2 8f563b
-7 3 2 8f563b
-4 3 2 8f563b
-3 3 2 8f563b
-2 3 2 8f563b
-1 3 2 8f563b
-7 4 2 8f563b
-4 4 2 8f563b
-3 4 2 8f563b
-2 4 2 8f563b
-1 4 2 8f563b
-7 5 2 8f563b
-4 5 2 8f563b
-3 5 2 8f563b
-2 5 2 8f563b
-1 5 2 8f563b
-7 0 3 8f563b
-4 0 3 8f563b
-1 0 3 8f563b
-7 1 3 8f563b
-4 1 3 8f563b
-1 1 3 8f563b
-7 2 3 8f563b
-4 2 3 8f563b
-1 2 3 8f563b
-7 3 3 8f563b
-4 3 3 8f563b
-3 3 3 8f563b
-2 3 3 8f563b
-1 3 3 8f563b
-7 4 3 8f563b
-4 4 3 8f563b
-3 4 3 8f563b
-2 4 3 8f563b
-1 4 3 8f563b
-7 5 3 8f563b
-4 5 3 8f563b
-3 5 3 8f563b
-2 5 3 8f563b
-1 5 3 8f563b
-4 0 4 8f563b
-1 0 4 8f563b
-4 1 4 8f563b
-1 1 4 8f563b
-4 2 4 8f563b
-1 2 4 8f563b
-4 3 4 8f563b
-1 3 4 8f563b
-4 4 4 8f563b
-3 4 4 fbf236
-2 4 4 fbf236
-1 4 4 8f563b
-4 5 4 8f563b
-3 5 4 8f563b
-2 5 4 8f563b
-1 5 4 8f563b
-4 0 5 8f563b
-1 0 5 8f563b
-4 1 5 8f563b
-1 1 5 8f563b
-4 2 5 8f563b
-1 2 5 8f563b
-4 3 5 8f563b
-1 3 5 8f563b
-4 4 5 8f563b
-1 4 5 8f563b
-4 5 5 8f563b
-3 5 5 8f563b
-2 5 5 8f563b
-1 5 5 8f563b
0 0 0 000000
1 0 0 000000
2 0 0 000000
0 1 0 000000
1 1 0 000000
2 1 0 000000
0 2 0 000000
1 2 0 000000
2 2 0 000000
0 3 0 000000
1 3 0 000000
2 3 0 000000
0 4 0 000000
1 4 0 000000
2 4 0 000000
0 5 0 000000
1 5 0 000000
2 5 0 000000
2 0 1 8f563b
2 1 1 8f563b
2 2 1 8f563b
2 3 1 8f563b
2 4 1 8f563b
